je
kasnije
radio
prijatelj
kakav
uz
dolazi
preko
rekli
zapravo
dobiti
učinio
vjerojatno
bismo
njegov
stari
napravio
poslije
veliki
brod
pet
života
hoće
dao
tog
iza
ideš
bog
one
jednostavno
kuće
nekoga
razumijem
gotovo
dati
vrati
imala
dolara
govori
imali
stani
prestani
veze
došli
otišao
novi
dakle
ostati
želio
ha
trebala
gledaj
problema
njima
drži
morate
sin
momci
uzmi
tvoju
trebaš
drugo
natrag
važno
majka
posla
vidjela
sati
spreman
dobio
čovjeka
zaista
svojim
pazi
srce
briga
vaša
pitanje
trenutak
njemu
oružje
osjećam
veoma
ipak
ovoga
trebamo
nju
priča
jutro
ovim
bar
žene
sat
moći
odlično
cijeli
svog
nemaš
uopće
sebi
jasno
svijet
tada
uskoro
jel
vezi
ponovo
našao
obitelj
najbolje
glavu
prijatelji
jedini
volio
čega
njegova
oči
valjda
isuse
budem
skoro
ce
voli
brini
morao
halo
htjela
jest
znala
oca
nekog
čudno
potpuno
nemamo
kraj
grad
nećemo
pred
sata
vidite
ženu
gospodo
lako
tek
sama
polako
stalno
sjajno
njom
pištolj
kamo
životu
žele
najbolji
dečko
ruku
blizu
ozbiljno
dovraga
sretan
riječ
mala
velika
naša
između
svijetu
strane
četiri
biste
pola
vidjeli
svih
kažu
kuću
ljudima
umrijeti
također
kojeg
sigurna
noći
mom
negdje
sta
ikada
rade
kakva
znaju
prava
moji
radite
dečki
zvuči
smrt
ljubav
vani
sjećaš
dajte
radimo
voliš
ponekad
druge
plan
vratio
uzeti
niti
čujem
budeš
pronaći
brat
došla
osoba
slučaj
ponovno
spremni
pretpostavljam
govoriš
izgledaš
jesu
smrti
mojoj
živi
našli
mjesta
moguće
nemojte
ovoj
ideja
pojma
hoćete
rat
vodi
lice
ostani
ikad
dvoje
manje
draga
laku
kapetane
pre
bojim
govorim
izgubio
sina
pitam
odakle
prijatelju
sobu
šest
pitanja
djevojka
tvog
slučaju
sjećam
recite
tjedan
prilično
kraju
policija
uvek
prijatelja
istinu
doma
san
svega
daleko
moglo
svima
ispod
vode
jebeni
pričati
pričaš
gospođo
cu
djecu
novca
nazad
šanse
jedino
sobi
razlog
krv
svom
morat
mjestu
obitelji
umro
ovome
zaboravi
mrzim
djeca
želimo
mojim
čim
čuti
naprijed
sine
tijelo
smiješno
jebi
sinoć
pokušavam
ranije
otvori
poruku
nje
pogledajte
uradio
dođe
pitati
ujutro
ovi
tražim
drugog
zovem
dragi
uzeo
dame
barem
čuješ
boli
riječi
čula
njoj
zanima
lud
nikoga
desilo
pokušao
njegove
doista
nekako
vreme
gradu
piće
živjeti
time
sva
zemlju
igra
razumiješ
takav
smiri
živ
sami
oboje
divno
gledati
neku
uredu
svim
kakve
ostali
zvao
brže
vašu
pitao
jedina
zemlji
ostavio
deset
ostaviti
miru
njegovo
pored
video
dogoditi
čekajte
isti
doktore
razloga
morati
kuća
putu
bile
ostavi
zadnji
ispred
frank
nekim
nastavi
čeka
svakako
dali
onog
tražio
krvi
jebeno
prva
odgovor
kraja
traži
mjeseci
svojoj
učini
večer
ovih
boga
cijelu
iako
čuli
otišla
njegovu
postoje
tvom
film
zbilja
našu
tipa
slušajte
potrebno
sastanak
drugu
telefon
shvaćam
izaći
tih
ostalo
ondje
zbogom
ući
mrtva
poslao
dobre
pomozi
sestra
govoriti
dobri
piše
trebaju
jesmo
lijepa
shvatio
momak
niko
među
hajdemo
poziv
tvojim
sigurni
druga
stavi
zemlje
doktor
izvini
sretno
red
noge
ljubavi
zaboravio
nećete
poslu
vijesti
kome
oče
znali
našeg
vidjet
poznajem
uraditi
misle
odvesti
tv
priliku
vjeruj
kojoj
kriv
stan
svijeta
ubojica
kim
idite
brata
odlazi
tjedna
ubit
počeo
priču
uspio
sobom
eto
glavni
obično
grada
krevet
mjesec
dolaze
požuri
jedva
spasiti
kralj
savršeno
muž
sir
napad
pustiti
bolji
pokazati
svakog
igrati
pas
izlazi
prokletstvo
kažete
miči
pravila
inače
drugom
znak
djevojke
strašno
gosp
vraga
spremna
tvoji
večeru
osjećaš
kurac
smisla
pustite
gđo
pokušaj
kojem
osjećaj
nemoguće
dešava
dolazim
idu
prošlo
moraju
postao
stara
toj
brate
godinu
velike
dođite
školu
strani
jutros
loš
tvojoj
srediti
zaustaviti
hoćemo
dobili
nova
zatvor
izvinite
smijem
čekati
sranja
osobno
voljela
spusti
um
sreće
kapetan
završiti
nove
djece
njen
vašeg
šefe
bogu
biće
umjesto
dat
mjeseca
mojih
jučer
koristi
izvući
sedam
mrtvi
prestati
željela
zabavno
tiče
zauvijek
kunem
prošli
imena
naši
ajde
vjeruješ
nevjerojatno
zatvoru
vraćam
šteta
zoveš
veliku
nosi
nazvati
ovuda
posebno
javi
kuda
vodu
leđa
glave
očito
hranu
kvragu
če
postati
stigao
trebate
soba
usta
dom
onoga
mozak
htjeli
spavati
kreni
pričam
napravila
ču
sekundi
šef
budu
platiti
odeš
roditelji
izgubili
društvo
početi
vratit
upoznao
glas
čast
često
vole
brinuti
zemlja
cura
kojim
rukama
izbora
godinama
dala
gospodin
ulazi
policiju
kćer
ubili
govorio
milijuna
izgubiti
školi
kola
otišli
knjigu
kojima
mislili
priče
ključ
jesti
djevojku
iznad
vrsta
promijeniti
svakom
razgovor
dopustiti
nemate
takve
dogodi
konačno
kakvo
tražiti
agent
slike
budemo
zvati
išta
morala
dobila
dvojica
počinje
rođendan
završio
uslugu
sljedeći
pošto
učinila
ubojstvo
cijelo
onih
pitanju
bježi
išao
drugim
zovu
vratim
kasno
policajac
saznati
gledao
radili
iskreno
shvatiti
majku
nestao
zovi
proći
novu
osam
bitno
brodu
posljednji
odem
zabavu
upoznati
gotov
gđice
auta
sretna
kladim
muškarac
sjedni
riješiti
misliti
makni
čekam
uđi
umrla
glavi
moć
radije
pokušati
kupiti
našla
drugih
pronašao
stranu
tijela
pogledati
onu
novo
gle
sliku
budućnost
pokaži
zatim
nekad
zaboraviti
pukovniče
trenutno
smeta
stalo
napravi
ode
čestitam
okolo
jedne
svaku
ideju
poslati
naučio
nemaju
budite
pismo
postaje
vratite
daje
prijatelje
bol
veliko
jeli
pričao
ludo
gledam
opusti
uništiti
pivo
gledaš
nedostaje
ured
dupe
zadnje
psa
napravili
božić
njihov
zadatak
recimo
zakon
radila
učinili
izvan
stići
pomognem
najviše
držati
vezu
jebote
naučiti
nad
baci
avion
spasio
nastaviti
izbor
dogovor
kavu
srca
obećavam
sjedi
kupio
drugačije
putem
prokleti
nazvao
čovek
vratimo
jaja
dječak
ostatak
greška
pobjeći
pokušava
naših
pogled
krenuti
knjige
glupo
rad
našim
objasniti
pronašli
takva
napokon
trebat
loša
vašem
sav
cure
nogu
ubijen
ustvari
nikome
držite
živim
ionako
njihove
stigli
glava
svejedno
svaka
smije
boriti
voda
gubi
ispričavam
govore
staviti
tvojih
mamu
vrijedi
dokaz
dole
donio
tražiš
igru
nositi
morali
svojih
knjiga
seks
bravo
stanite
svako
pričaj
stavio
gledajte
slika
informacije
lakše
najbolja
malu
cemo
luda
kul
probleme
smiješ
otkad
pogrešno
trenutku
škole
nekom
obzira
većina
čuvaj
ostale
ravno
gospodaru
uradi
našem
strah
ubila
tražimo
svake
rata
došlo
ubij
oružja
vozi
broda
uspjeti
šališ
mir
autu
prošle
završi
upoznali
lepo
idete
svemu
imat
poznaješ
vrag
jake
duboko
slažem
ukrao
prozor
jos
pao
odlučio
dobit
eno
slobodno
predsjednik
ulici
zanimljivo
račun
ijudi
lijep
vide
hrane
nazovi
pri
lijevo
zabava
slušati
kakvu
ženi
pitaj
odjednom
pokret
sobe
stoji
zrak
njegovom
rado
ubojstva
ostavite
nađemo
slobodan
minute
la
onim
trebati
tajna
stanju
izvoli
gospođice
male
uspjeli
desno
karte
program
svojom
definitivno
zadržati
ostanite
ostao
zvala
jezik
uzmite
žive
signal
napisao
početak
poklon
razmišljao
hladno
pomislio
čisto
čime
metara
stvarima
pun
probudi
osiguranje
prsten
bolnici
prati
al
pada
nesto
